NUTS_ID,NAME_LATN,NUTS_NAME,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DE8,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,12,15,3,4,34,18,15,9,0,0,10,4,17,17,8,18,10,20,4,0,0,20,15,0,3,0,0,0,7,33,5,22,3,7,5,11,0,4,3,0,6
SE2,Södra Sverige,Södra Sverige,22,15,6,8,40,20,25,12,6,0,4,9,6,17,11,13,14,14,6,0,11,24,13,3,3,8,6,3,7,56,12,19,6,4,0,16,0,7,9,0,14
FRJ,Occitanie,Occitanie,8,7,9,5,25,11,15,7,3,7,12,4,9,8,6,10,8,9,11,9,13,0,14,4,23,3,10,4,9,18,5,21,14,3,10,6,11,7,7,10,8
RS2,Serbia - jug,Србија - југ,17,6,19,6,34,10,11,20,12,7,20,6,27,9,15,10,9,15,7,7,16,12,14,8,10,10,5,6,15,14,8,24,7,6,4,8,12,8,0,0,6
NO0,Norge,Norge,29,13,19,14,38,29,22,22,13,12,16,33,15,18,15,23,17,26,25,7,23,33,11,9,5,12,9,8,15,65,12,26,24,12,6,16,6,10,14,0,27
RO2,Macroregiunea Doi,Macroregiunea Doi,11,6,17,11,35,11,16,13,12,10,19,7,27,9,13,17,7,19,8,0,16,14,22,7,10,6,4,0,7,16,5,27,9,9,5,12,8,9,3,0,4
NL1,Noord-Nederland,Noord-Nederland,19,4,6,6,29,20,15,3,0,0,11,3,19,10,10,32,17,13,3,0,4,13,15,3,0,0,0,3,5,26,6,11,13,0,4,13,4,4,0,0,8
ITC,Nord-Ovest,Nord-Ovest,18,9,8,9,28,13,16,8,4,17,24,7,8,10,8,13,6,11,13,10,8,3,17,5,19,7,8,3,13,16,7,22,11,3,3,11,12,8,7,5,5
PL6,Makroregion północny,Makroregion północny,9,9,4,13,38,24,21,11,3,0,10,3,20,15,10,16,9,25,6,0,3,21,14,3,3,15,4,0,9,30,12,26,7,16,7,9,3,7,4,0,8
UKI,London,London,14,6,0,0,16,19,10,0,0,0,12,9,10,3,7,6,3,0,0,3,7,0,0,3,0,0,0,5,4,28,0,9,7,0,0,7,0,3,0,0,5
HU2,Dunántúl,Dunántúl,8,16,14,4,38,15,17,14,6,3,18,1,25,10,11,25,8,14,6,0,13,12,18,3,10,9,0,0,10,12,3,17,5,6,3,5,8,7,0,0,0
