NUTS_ID,NAME_LATN,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
CZ0,Česko,Česko,27,28,6,9,7,33,30,31,13,11,8,5,6,22,0,7,19,13,21,23,13,14,13,11,7,13,15,4,3,7,14,3,11,23,0,7,0,6,7,0,12,33,0,6,10,10,17,25,12,3,10,13,4,4,11,17,6,8,17,9,9,9,11,4,14,9,24,33,12,0,17,8,8,3,0,3,11,16,13,13,6,12,36,11,24,12,6,15,10,17,9,7,10,5,23
FRI,Nouvelle-Aquitaine,Nouvelle-Aquitaine,20,16,7,7,0,26,20,25,17,25,11,3,3,14,4,13,10,11,13,21,33,26,3,6,7,10,6,8,0,3,22,3,11,21,0,19,3,10,4,3,6,5,6,9,9,3,21,21,8,12,13,9,6,6,7,10,10,0,20,3,7,3,9,3,9,0,11,17,0,9,7,3,19,11,12,3,3,11,0,17,7,5,10,5,10,4,6,12,7,3,3,9,15,6,12
FRH,Bretagne,Bretagne,20,6,12,8,0,21,10,11,12,18,10,6,0,12,5,6,14,6,7,9,13,13,3,7,8,6,6,7,0,0,13,0,0,12,0,16,0,5,0,3,3,3,0,6,0,0,14,21,3,5,7,0,3,10,6,7,9,0,22,0,13,7,0,4,6,0,12,19,3,7,3,0,19,7,5,6,0,12,0,6,3,11,11,0,5,4,6,4,4,3,4,3,11,3,10
PT1,Continente,Continente,13,10,5,9,6,18,10,6,4,13,4,3,5,7,3,4,6,4,6,10,24,8,3,6,0,8,4,3,0,5,7,4,10,7,0,17,4,5,3,4,3,0,3,3,7,0,8,8,6,3,12,6,4,7,6,0,7,3,17,0,3,0,6,3,6,0,3,4,0,7,3,3,3,8,8,0,3,8,4,14,0,0,6,4,12,3,3,4,4,5,3,4,5,0,3
HU1,Közép-Magyarország,Közép-Magyarország,19,17,8,7,8,25,25,17,4,4,4,0,0,8,0,3,16,8,13,24,20,12,10,6,10,4,7,13,3,4,18,10,8,15,0,4,0,0,0,0,6,41,0,6,0,14,8,20,7,0,3,21,3,0,5,19,9,12,10,3,3,0,5,0,14,6,17,31,10,0,6,3,3,0,0,3,3,11,0,8,4,13,19,4,7,3,0,5,8,13,11,0,7,0,7
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,19,9,3,11,7,19,22,13,7,9,3,4,0,14,0,8,0,6,7,12,5,19,5,6,0,6,8,0,0,0,4,0,3,15,0,3,0,0,0,4,6,3,0,3,0,0,10,14,3,5,3,5,0,5,0,0,6,0,23,0,5,0,0,0,0,3,18,23,0,3,0,0,12,3,3,0,0,4,0,0,0,0,5,8,7,6,0,8,5,3,5,0,10,0,8
SK0,Slovensko,Slovensko,23,26,15,9,7,29,28,21,6,11,8,3,13,18,5,8,15,12,19,22,23,16,13,10,10,7,8,10,3,8,18,4,11,16,0,9,4,4,6,4,7,42,0,8,5,15,11,25,8,0,10,26,6,6,13,22,14,7,13,13,7,3,7,6,8,7,18,21,12,0,15,8,3,3,3,4,7,17,10,18,9,16,27,13,19,9,4,16,16,17,15,4,10,4,18
DE3,Berlin,Berlin,24,10,0,0,6,15,27,15,6,0,0,0,0,13,0,0,18,6,14,15,0,5,7,3,0,9,3,0,3,0,0,0,5,6,0,0,0,0,0,0,7,8,0,7,3,0,23,18,4,0,0,7,0,0,0,9,4,0,17,4,9,0,7,3,11,3,19,25,6,0,4,8,9,0,0,0,11,11,12,0,0,4,21,4,20,13,3,8,4,12,5,0,5,0,20
SI0,Slovenija,Slovenija,17,30,13,9,7,27,37,26,14,9,10,3,7,15,0,7,11,10,14,24,23,18,7,8,8,9,9,9,6,8,25,3,7,15,3,8,0,0,3,3,13,29,3,3,6,10,9,26,11,0,12,19,3,0,7,20,9,8,16,10,10,3,4,3,12,4,13,22,7,4,22,3,7,7,3,3,6,22,3,9,10,13,45,3,13,13,0,14,10,9,4,5,15,9,10
UKL,Wales,Wales,27,3,3,7,5,13,11,8,9,13,3,6,0,15,5,7,11,6,7,9,6,16,5,3,4,0,7,0,0,3,5,3,6,8,3,9,0,4,0,0,8,4,3,3,3,0,10,15,3,0,6,3,4,13,6,10,4,0,23,0,16,8,6,5,3,0,10,13,3,3,0,0,8,6,10,5,0,8,0,6,4,7,5,7,7,3,0,0,3,9,4,7,11,6,7
BE3,Région wallonne,Région wallonne,26,15,4,11,8,22,23,38,11,17,7,4,0,16,4,9,10,6,11,11,12,24,6,9,0,11,12,5,0,0,7,3,4,19,0,8,0,3,0,6,8,3,3,3,8,3,14,16,7,8,7,8,3,9,7,10,10,3,28,3,10,3,5,4,11,3,24,23,0,7,3,0,13,6,3,6,4,5,0,0,4,3,6,9,16,7,4,8,8,6,5,0,11,7,14
FRD,Normandie,Normandie,22,8,9,10,3,20,15,17,9,16,12,7,0,14,4,6,10,6,7,10,14,16,4,7,6,8,6,7,0,0,10,3,3,11,0,11,0,4,0,7,7,3,3,5,0,0,17,22,3,5,8,3,0,12,4,7,8,0,28,0,11,7,4,4,7,0,18,19,0,7,3,0,13,6,3,6,3,9,3,7,3,7,8,4,10,8,7,5,6,6,3,0,16,0,9
HR0,Hrvatska,Hrvatska,17,22,11,9,8,31,31,27,16,12,15,0,15,11,0,8,16,11,18,27,23,18,13,8,12,10,8,12,7,11,25,4,13,17,0,7,3,5,7,7,12,31,10,3,8,15,8,27,7,11,13,28,4,0,8,25,14,9,16,15,10,3,4,4,7,6,13,29,10,0,7,7,8,6,0,4,6,14,9,17,12,15,44,8,16,13,3,17,12,9,13,5,18,6,11
PL5,Makroregion południowo-zachodni,Makroregion południowo-zachodni,27,14,0,3,6,28,22,21,17,7,4,3,3,15,0,7,18,14,11,19,13,11,11,13,6,10,10,11,4,4,12,0,10,16,0,7,0,6,3,0,11,8,0,5,8,3,22,20,10,0,9,11,6,3,5,18,5,0,23,12,6,3,10,4,11,7,23,32,7,0,11,8,8,3,0,0,15,10,12,4,6,8,14,11,16,14,4,12,6,11,12,3,9,4,22
EL4,"Nisia Aigaiou, Kriti","Νησιά Αιγαίου, Κρήτη",5,7,22,3,12,13,14,15,10,4,0,3,8,13,0,5,7,4,16,5,9,5,13,0,3,3,13,3,6,3,13,0,9,3,0,0,0,5,10,6,0,13,4,3,3,15,0,10,12,0,0,3,7,6,5,11,3,3,3,17,11,0,3,5,0,10,5,10,3,0,0,0,4,0,0,0,3,5,6,15,3,21,10,9,7,0,0,3,8,0,7,7,10,4,3
MK0,Severna Makedonija,Северна Македонија,16,12,30,7,11,23,16,30,7,12,9,4,18,7,3,7,18,6,21,21,26,7,14,10,7,4,7,8,3,5,23,7,12,8,0,3,0,0,12,6,5,37,4,12,12,18,0,18,21,0,3,24,12,3,8,17,25,13,7,21,15,8,6,8,4,21,12,21,8,0,6,7,3,11,7,9,5,10,14,20,5,27,33,22,5,6,4,15,15,11,18,3,18,8,12
DEB,Rheinland-Pfalz,Rheinland-Pfalz,27,17,6,10,10,28,14,41,13,16,14,5,0,18,8,5,12,7,11,20,9,18,9,10,0,13,15,3,0,0,10,3,5,24,0,8,0,4,0,9,6,9,4,3,9,3,16,20,7,10,8,9,3,4,7,16,11,3,24,4,14,3,6,3,12,3,25,23,4,7,3,0,13,0,0,3,3,17,3,4,8,6,15,4,19,7,3,8,8,17,5,5,7,7,20
FRL,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,23,40,13,10,3,37,33,41,17,16,9,8,8,20,3,20,9,8,13,18,26,15,6,8,4,10,9,9,3,5,11,5,11,18,0,10,0,9,5,8,7,8,7,10,16,8,6,17,9,3,10,13,11,3,11,7,12,6,24,4,9,4,3,3,11,7,19,18,4,8,11,3,9,8,4,6,8,14,3,13,9,8,16,9,21,8,6,11,18,4,0,9,7,10,5
SE1,Östra Sverige,Östra Sverige,22,21,7,4,9,14,0,7,15,4,14,0,0,8,6,3,6,3,9,12,10,16,28,18,0,0,3,6,4,4,3,0,11,8,0,3,0,3,0,5,6,3,3,8,6,3,19,11,5,0,7,6,6,5,4,6,13,0,13,10,5,13,10,5,14,0,4,12,7,3,3,7,3,6,0,5,3,6,3,0,0,0,3,4,13,11,0,8,7,6,9,3,0,5,8
DE8,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,26,18,0,0,9,18,22,17,8,5,5,0,0,15,3,3,19,6,13,16,4,16,15,6,0,13,9,7,3,0,5,0,5,15,0,0,3,0,0,3,12,11,0,10,3,0,15,18,5,0,6,7,0,8,0,14,8,0,26,3,16,6,19,3,10,6,17,28,6,0,0,8,9,3,0,0,13,14,11,0,0,5,17,7,21,11,4,9,5,15,7,0,4,0,21
SE2,Södra Sverige,Södra Sverige,30,24,6,4,11,17,8,17,17,9,19,0,0,13,6,4,9,3,14,19,12,17,31,15,3,0,3,6,10,0,3,0,17,17,0,0,4,4,0,0,12,9,3,8,5,5,19,20,7,0,12,9,5,8,5,7,10,0,20,14,10,19,20,4,18,3,7,20,7,0,4,16,8,6,0,4,9,7,9,0,3,0,7,5,18,12,4,9,9,8,8,3,3,4,13
FRJ,Occitanie,Occitanie,21,21,6,6,3,26,25,26,18,25,8,10,0,11,0,14,11,9,14,18,37,13,6,4,7,9,6,9,0,4,23,4,12,19,3,16,4,14,5,6,6,5,7,8,9,0,16,19,9,6,15,16,7,7,8,12,12,0,24,3,4,0,8,3,11,9,13,15,0,8,6,8,13,8,11,0,6,12,5,24,11,8,11,8,12,5,9,9,8,4,7,12,13,7,8
RS2,Serbia - jug,Србија - југ,10,14,23,11,14,26,21,27,10,8,8,0,17,12,0,7,22,7,23,27,24,15,14,6,13,7,12,10,6,9,28,11,8,13,0,8,0,0,11,7,11,28,9,10,7,15,3,23,24,6,3,22,11,4,14,23,13,6,17,25,10,9,11,11,4,22,16,22,8,0,6,4,8,4,0,8,3,13,14,22,9,16,31,17,8,8,3,16,15,10,15,3,16,9,13
NO0,Norge,Norge,36,22,9,14,19,13,15,15,23,11,17,7,3,10,10,8,15,11,8,12,9,20,29,9,11,3,6,15,7,8,7,6,17,16,9,4,12,11,6,8,9,4,3,8,10,3,19,14,7,8,11,14,7,12,6,9,10,4,19,7,16,17,13,14,15,7,7,15,12,6,3,15,11,10,6,9,9,23,6,3,12,9,7,9,16,18,12,17,10,6,7,11,9,13,9
